,Date,Team,Opponent,W/L,Margin,POSS,OPP_POSS,PPP,OPP_PPP,3PA%,OPP_3PA%,FTA%,OPP_FTA%,ORB%,DRB%,REB%,REB,TO%,OPP_TO%,FGA,FG%,OPP_FGA,OPP_FG%,3PA,3P%,OPP_3PA,OPP_3P%,FTA,FT%,OPP_FTA,OPP_FT%
0,2023-05-20,ATL,DAL,L,-7,86.6,84.9,0.91,1.01,39.0,40.5,17.1,35.1,38.6,68.3,52.9,45-40,22.1,19.0,29-82,35.4,27-74,36.5,9-32,28.1,9-30,30.0,11-14,78.6,22-26,84.6
1,2023-05-23,ATL,MIN,W,6,79.5,74.5,1.05,1.04,33.3,29.8,29.0,22.4,32.4,68.8,50.0,33-33,20.2,18.9,29-69,42.0,30-67,44.8,7-23,30.4,6-20,30.0,18-20,90.0,11-15,73.3
2,2023-05-28,ATL,IND,L,-3,80.6,78.0,1.09,1.15,30.8,38.2,52.3,15.8,18.4,64.7,40.3,29-43,13.8,15.4,25-65,38.5,35-76,46.0,8-20,40.0,11-29,37.9,29-34,85.3,9-12,75.0
3,2023-05-30,ATL,CHI,W,18,80.2,82.4,1.04,0.79,18.6,26.0,34.3,14.3,15.4,76.1,48.2,41-44,11.2,18.3,30-70,42.9,25-77,32.5,5-13,38.5,6-20,30.0,18-24,75.0,9-11,81.8
4,2023-06-02,ATL,LVA,L,-5,83.9,83.5,1.05,1.11,32.4,30.0,13.5,35.7,18.8,85.7,53.7,36-31,18.1,13.2,34-74,46.0,33-70,47.1,10-24,41.7,6-21,28.6,9-10,90.0,20-25,80.0
5,2023-06-09,ATL,NYL,L,-23,85.1,83.9,0.98,1.28,29.8,40.0,32.8,34.7,15.2,76.3,47.9,34-37,20.0,12.0,30-67,44.8,34-75,45.3,9-20,45.0,14-30,46.7,14-22,63.6,24-26,92.3
6,2023-06-11,ATL,CON,L,-12,85.0,88.5,0.91,1.01,30.6,20.6,38.7,41.1,29.4,73.0,52.1,37-34,30.6,18.2,26-62,41.9,32-73,43.8,5-19,26.3,4-15,26.7,20-24,83.3,21-30,70.0
7,2023-06-13,ATL,NYL,W,7,76.7,77.4,1.13,1.03,33.8,40.9,25.4,33.3,34.2,78.4,56.0,42-33,18.4,16.9,31-71,43.7,26-66,39.4,8-24,33.3,8-27,29.6,16-18,88.9,19-22,86.4
8,2023-06-15,ATL,CON,W,4,87.2,84.6,1.06,1.05,20.0,20.8,28.6,29.9,22.2,78.0,55.9,38-30,20.7,11.9,36-70,51.4,33-77,42.9,4-14,28.6,4-16,25.0,16-20,80.0,18-23,78.3
9,2023-06-18,ATL,IND,W,6,86.0,86.2,1.18,1.09,22.7,26.0,36.4,39.7,11.5,71.8,47.7,31-34,18.8,17.4,37-66,56.1,33-73,45.2,7-15,46.7,4-19,21.0,19-24,79.2,24-29,82.8
10,2023-06-20,ATL,DAL,L,-12,80.2,77.7,0.91,1.1,26.9,25.8,49.2,51.5,26.8,57.9,41.8,33-46,16.2,20.8,22-67,32.8,27-66,40.9,4-18,22.2,6-17,35.3,25-33,75.8,25-34,73.5
11,2023-06-23,ATL,NYL,L,-30,88.2,90.1,0.91,1.22,17.6,47.3,39.7,36.5,18.6,80.6,46.8,37-42,22.7,16.7,26-68,38.2,36-74,48.6,5-12,41.7,17-35,48.6,23-27,85.2,21-27,77.8
12,2023-06-28,ATL,WAS,L,-23,84.9,86.6,1.02,1.27,20.3,30.1,47.3,28.8,23.9,77.8,43.8,32-41,11.9,16.3,28-74,37.8,39-73,53.4,5-15,33.3,11-22,50.0,25-35,71.4,20-21,95.2
13,2023-06-30,ATL,WAS,W,5,80.5,79.1,1.18,1.13,18.8,27.7,39.1,40.0,21.2,75.0,47.7,31-34,12.5,17.7,33-69,47.8,32-65,49.2,7-13,53.8,3-18,16.7,21-27,77.8,22-26,84.6
14,2023-07-02,ATL,LAS,W,28,86.4,83.7,1.3,1.01,30.9,26.9,50.0,44.8,18.2,85.0,54.8,40-33,15.1,15.7,37-68,54.4,28-67,41.8,9-21,42.9,5-18,27.8,29-34,85.3,23-30,76.7
15,2023-07-05,ATL,LAS,W,11,78.8,81.3,1.15,0.98,35.8,32.4,34.3,32.4,9.4,90.0,54.2,39-33,10.3,13.6,33-67,49.2,29-68,42.6,10-24,41.7,6-22,27.3,14-23,60.9,15-22,68.2
16,2023-07-07,ATL,CHI,W,14,77.5,77.4,1.06,0.88,24.6,35.3,18.8,22.1,28.6,84.2,57.5,42-31,20.8,15.6,33-69,47.8,25-68,36.8,6-17,35.3,7-24,29.2,10-13,76.9,11-15,73.3
17,2023-07-09,ATL,CHI,W,11,75.5,78.8,1.17,0.99,21.3,30.1,20.0,21.9,37.1,78.4,58.3,42-30,13.3,12.8,35-75,46.7,30-73,41.1,6-16,37.5,6-22,27.3,12-15,80.0,11-16,68.8
18,2023-07-12,ATL,SEA,W,10,81.8,83.0,1.05,0.91,27.5,31.3,30.4,38.8,25.0,87.8,58.4,45-32,19.8,15.8,32-69,46.4,25-67,37.3,4-19,21.0,7-21,33.3,17-21,81.0,18-26,69.2
