,Date,Team,Opponent,W/L,Margin,POSS,OPP_POSS,PPP,OPP_PPP,3PA%,OPP_3PA%,FTA%,OPP_FTA%,ORB%,DRB%,REB%,REB,TO%,OPP_TO%,FGA,FG%,OPP_FGA,OPP_FG%,3PA,3P%,OPP_3PA,OPP_3P%,FTA,FT%,OPP_FTA,OPP_FT%
0,2022-05-07,ATL,DAL,W,7,81.3,84.4,0.81,0.7,42.9,27.1,34.9,38.6,24.3,77.6,54.6,47-39,25.9,20.2,20-63,31.8,17-70,24.3,7-27,25.9,4-19,21.0,19-22,86.4,21-27,77.8
1,2022-05-11,ATL,LAS,W,2,80.0,77.9,0.96,0.97,43.5,26.4,27.5,31.9,20.6,78.0,52.0,39-36,16.2,10.4,24-69,34.8,25-72,34.7,13-30,43.3,6-19,31.6,16-19,84.2,19-23,82.6
2,2022-05-13,ATL,LVA,L,-23,79.8,80.0,0.92,1.2,26.2,51.5,21.5,27.9,21.9,82.9,53.7,36-31,24.0,16.2,28-65,43.1,32-68,47.1,8-17,47.1,16-35,45.7,9-14,64.3,16-19,84.2
3,2022-05-15,ATL,IND,W,6,81.8,82.0,1.05,0.98,29.8,33.8,52.6,27.9,16.0,77.8,52.5,32-29,23.5,21.0,28-57,49.1,28-68,41.2,6-17,35.3,11-23,47.8,23-30,76.7,12-19,63.2
4,2022-05-17,ATL,IND,W,22,80.1,82.0,1.26,0.98,34.9,37.5,41.3,23.8,16.0,67.4,49.3,35-36,16.2,14.8,34-63,54.0,30-80,37.5,10-22,45.4,6-30,20.0,23-26,88.5,13-19,68.4
5,2022-05-20,ATL,WAS,L,-5,75.0,76.4,0.97,1.03,36.4,32.7,21.2,56.4,22.9,75.0,44.1,26-33,18.7,22.4,27-66,40.9,25-55,45.4,8-24,33.3,3-18,16.7,11-14,78.6,25-31,80.6
6,2022-05-24,ATL,WAS,L,-20,70.6,70.7,0.71,1.0,37.5,36.7,14.3,25.0,27.3,81.8,54.6,36-30,32.9,18.6,20-56,35.7,26-60,43.3,4-21,19.0,7-22,31.8,6-8,75.0,11-15,73.3
7,2022-05-29,ATL,PHO,W,27,82.2,78.0,0.99,0.7,34.3,27.9,8.6,30.9,34.5,78.7,61.8,47-29,28.0,18.2,34-70,48.6,18-68,26.5,9-24,37.5,3-19,15.8,4-6,66.7,15-21,71.4
8,2022-06-01,ATL,MIN,W,8,84.8,82.4,1.0,0.93,36.4,35.0,15.6,33.3,18.0,76.7,43.5,30-39,15.5,29.3,33-77,42.9,27-60,45.0,12-28,42.9,7-21,33.3,6-12,50.0,15-20,75.0
9,2022-06-03,ATL,CHI,L,-8,78.3,77.6,0.83,0.95,30.7,31.2,10.7,32.8,23.1,83.3,49.3,34-35,15.4,20.8,26-75,34.7,26-61,42.6,6-23,26.1,5-19,26.3,7-8,87.5,16-20,80.0
10,2022-06-05,ATL,IND,W,9,86.0,86.5,0.87,0.77,22.4,34.8,22.4,34.8,19.4,81.6,53.6,37-32,25.6,24.4,29-67,43.3,23-66,34.8,4-15,26.7,6-23,26.1,13-15,86.7,14-23,60.9
11,2022-06-07,ATL,SEA,L,-12,77.5,77.4,0.78,0.94,27.5,44.3,18.8,24.6,26.5,82.4,54.4,37-31,19.5,24.7,25-69,36.2,25-61,41.0,2-19,10.5,8-27,29.6,8-13,61.5,14-15,93.3
12,2022-06-10,ATL,PHO,L,-2,77.7,78.1,1.14,1.15,30.4,46.3,11.4,41.8,16.2,81.1,48.6,36-38,5.2,11.5,35-79,44.3,28-67,41.8,10-24,41.7,10-31,32.3,8-9,88.9,24-28,85.7
13,2022-06-15,ATL,CON,L,-13,82.6,84.1,1.12,1.25,38.2,33.8,21.0,19.5,33.3,77.4,52.9,37-33,19.5,13.1,35-76,46.0,40-77,52.0,12-29,41.4,14-26,53.8,10-16,62.5,11-15,73.3
14,2022-06-17,ATL,CHI,L,-6,93.4,86.4,1.08,1.23,25.3,33.3,24.1,33.3,28.0,69.4,45.4,39-47,16.1,17.4,39-87,44.8,35-75,46.7,8-22,36.4,14-25,56.0,14-21,66.7,22-25,88.0
