,Date,Team,Opponent,W/L,Margin,POSS,OPP_POSS,PPP,OPP_PPP,3PA%,OPP_3PA%,FTA%,OPP_FTA%,ORB%,DRB%,REB%,REB,TO%,OPP_TO%,FGA,FG%,OPP_FGA,OPP_FG%,3PA,3P%,OPP_3PA,OPP_3P%,FTA,FT%,OPP_FTA,OPP_FT%
6,2023-06-09,ATL,Total,,-14,82.6,81.2,1.01,1.06,30.9,34.2,29.0,26.2,23.6,73.4,48.9,218-228,17.6,16.0,177-427,41.4,184-439,41.9,48-132,36.4,52-150,34.7,99-124,79.8,95-115,82.6
16,2023-06-09,CHI,Total,,-4,79.4,80.2,1.0,0.99,29.1,30.6,22.2,26.6,22.5,79.2,50.3,325-321,16.8,17.2,270-636,42.4,262-621,42.2,66-185,35.7,59-190,31.0,106-141,75.2,133-165,80.6
26,2023-06-08,CON,Total,,31,77.6,76.8,1.05,1.01,29.8,33.4,34.6,30.0,27.1,76.4,51.9,328-304,16.8,18.5,256-604,42.4,250-589,42.4,62-180,34.4,60-197,30.5,157-209,75.1,140-177,79.1
35,2023-06-09,DAL,Total,,21,81.8,81.9,1.05,1.01,35.6,32.4,26.4,28.8,30.6,75.3,51.8,309-288,16.2,19.2,241-602,40.0,235-556,42.3,64-214,29.9,58-180,32.2,138-159,86.8,135-160,84.4
44,2023-06-09,MIN,Total,,-57,77.6,77.3,1.0,1.09,30.5,37.8,30.1,22.7,23.8,77.8,51.3,281-267,18.7,15.4,217-525,41.3,245-556,44.1,53-160,33.1,73-210,34.8,132-158,83.5,113-126,89.7
53,2023-06-08,LVA,Total,,97,81.0,82.2,1.12,0.96,34.6,28.7,29.9,20.7,16.8,81.0,50.5,284-278,15.3,16.6,265-549,48.3,239-579,41.3,67-190,35.3,66-166,39.8,132-164,80.5,88-120,73.3
61,2023-06-09,LAS,Total,,11,80.6,79.8,1.02,1.01,28.8,36.4,29.0,28.8,20.5,79.1,48.6,233-246,15.4,20.2,204-489,41.7,203-459,44.2,47-141,33.3,54-167,32.3,120-142,84.5,104-132,78.8
68,2023-06-09,SEA,Total,,-64,79.8,78.1,0.94,1.1,31.4,30.3,25.9,28.8,19.5,80.1,48.0,205-222,16.3,17.5,161-417,38.6,184-396,46.5,44-131,33.6,46-120,38.3,84-108,77.8,100-114,87.7
76,2023-06-09,NYL,Total,,45,78.9,78.3,1.06,0.99,39.3,30.2,22.7,25.8,20.8,78.0,51.2,253-241,18.1,16.4,214-476,45.0,198-484,40.9,68-187,36.4,54-146,37.0,90-108,83.3,91-125,72.8
84,2023-06-09,IND,Total,,-33,79.3,79.0,1.0,1.07,30.5,30.1,21.0,34.4,24.1,77.8,50.7,258-251,16.8,14.0,213-501,42.5,202-482,41.9,52-153,34.0,51-145,35.2,78-105,74.3,134-166,80.7
92,2023-06-09,WAS,Total,,11,77.8,79.2,0.98,0.94,35.0,37.0,29.3,30.6,18.7,81.5,48.6,248-262,16.4,18.8,183-468,39.1,183-457,40.0,47-164,28.7,50-169,29.6,119-137,86.9,105-140,75.0
99,2023-06-09,PHO,Total,,-44,79.7,81.9,1.0,1.07,36.1,29.3,33.2,30.9,18.2,68.7,45.7,182-216,22.2,14.7,168-371,45.3,184-447,41.2,43-134,32.1,38-131,29.0,100-123,81.3,117-138,84.8
