,Date,Team,Opponent,W/L,Margin,POSS,OPP_POSS,PPP,OPP_PPP,3PA%,OPP_3PA%,FTA%,OPP_FTA%,ORB%,DRB%,REB%,REB,TO%,OPP_TO%,FGA,FG%,OPP_FGA,OPP_FG%,3PA,3P%,OPP_3PA,OPP_3P%,FTA,FT%,OPP_FTA,OPP_FT%
38,2022-08-14,ATL,Total,,-108,75.2,74.6,0.99,1.03,31.3,36.0,25.3,30.8,24.5,78.5,51.1,1276-1221,19.2,17.8,1035-2463,42.0,1031-2389,43.2,271-771,35.2,299-860,34.8,485-624,77.7,573-737,77.8
77,2022-08-14,CHI,Total,,180,74.3,75.1,1.1,1.02,30.9,26.8,24.5,22.3,22.7,76.2,51.2,1254-1196,17.5,16.5,1176-2443,48.1,1121-2561,43.8,260-754,34.5,233-686,34.0,493-599,82.3,450-570,79.0
116,2022-08-14,CON,Total,,289,74.5,73.8,1.09,1.0,26.1,33.9,28.8,24.4,31.6,79.5,56.1,1335-1044,18.3,19.9,1147-2483,46.2,1036-2361,43.9,230-649,35.4,263-801,32.8,564-715,78.9,464-577,80.4
155,2022-08-14,DAL,Total,,7,73.2,72.9,1.07,1.08,33.1,32.1,30.4,28.6,27.6,75.9,50.8,1217-1178,16.4,17.4,1068-2456,43.5,1092-2380,45.9,279-813,34.3,262-764,34.3,571-747,76.4,533-680,78.4
194,2022-08-14,MIN,Total,,-53,73.9,73.7,1.06,1.08,29.3,36.3,29.0,25.2,26.7,78.0,53.2,1329-1170,18.7,14.8,1087-2414,45.0,1101-2508,43.9,246-707,34.8,319-911,35.0,548-699,78.4,500-633,79.0
233,2022-08-14,LVA,Total,,229,75.6,75.0,1.13,1.06,37.6,36.3,28.2,23.3,19.9,77.6,49.4,1274-1304,13.9,16.0,1163-2529,46.0,1113-2546,43.7,343-951,36.1,329-925,35.6,587-713,82.3,472-593,79.6
272,2022-08-14,LAS,Total,,-256,74.4,74.6,1.01,1.1,25.3,34.7,27.3,30.2,20.6,73.5,46.4,1094-1265,17.6,19.6,1074-2408,44.6,1112-2383,46.7,195-609,32.0,311-826,37.6,517-658,78.6,581-719,80.8
311,2022-08-14,SEA,Total,,148,73.2,73.7,1.07,1.01,37.2,31.7,21.9,21.8,21.8,75.0,47.9,1208-1315,16.5,18.5,1095-2478,44.2,1073-2472,43.4,333-922,36.1,251-784,32.0,447-542,82.5,425-539,78.8
350,2022-08-14,NYL,Total,,-86,73.7,73.7,1.02,1.05,41.4,30.6,22.5,30.1,20.7,75.4,49.0,1233-1285,18.8,15.0,1036-2403,43.1,1040-2489,41.8,349-995,35.1,256-761,33.6,445-541,82.3,616-749,82.2
389,2022-08-14,IND,Total,,-399,75.7,75.8,0.98,1.11,29.0,30.7,27.9,31.0,26.6,72.7,48.2,1197-1289,18.9,17.9,1021-2498,40.9,1169-2467,47.4,245-724,33.8,257-757,34.0,520-697,74.6,611-764,80.0
428,2022-08-14,WAS,Total,,157,72.2,72.4,1.05,0.99,33.8,32.9,26.8,25.2,23.3,80.2,51.4,1258-1191,16.8,18.2,1055-2403,43.9,1007-2344,43.0,274-811,33.8,261-772,33.8,504-643,78.4,456-590,77.3
467,2022-08-14,PHO,Total,,-108,73.9,74.3,1.04,1.07,40.1,33.2,28.0,28.2,19.9,71.4,45.6,1122-1339,17.1,18.1,1028-2395,42.9,1090-2473,44.1,316-961,32.9,300-820,36.6,548-671,81.7,548-698,78.5
